Frame,Time (ns),RMSD
1,0.0,6.734813815322803e-06
2,0.019998000000000002,1.435004560656772
3,0.039996000000000004,1.59058581564255
4,0.059994,1.7278048211849808
5,0.07999200000000001,1.780799908883919
6,0.09999000000000001,1.7935902167648043
7,0.119988,1.9230385259407714
8,0.139986,2.021314615994
9,0.15998400000000002,2.0552016616761946
10,0.179982,2.2015932946754093
11,0.19998000000000002,2.1710726427585088
12,0.219978,2.117990019776095
13,0.239976,2.2745186664707915
14,0.259974,2.0727837299614866
15,0.279972,2.138783907922734
16,0.29997,2.237231383120789
17,0.31996800000000003,2.3082651676217147
18,0.339966,2.390972035956913
19,0.359964,2.341064658599375
20,0.37996199999999997,2.301120441750442
21,0.39996000000000004,2.2567697647952696
22,0.41995800000000005,2.2510065633271816
23,0.439956,2.256141450673278
24,0.45995400000000003,2.310456576377045
25,0.479952,2.2456793371594617
26,0.49995,2.5062358422484543
27,0.519948,2.431483883032962
28,0.539946,2.3145484422522116
29,0.559944,2.240513217824098
30,0.579942,2.4154023834358522
31,0.59994,2.4440445453053723
32,0.619938,2.342107940311877
33,0.6399360000000001,2.3593243862349715
34,0.659934,2.5367056684508036
35,0.679932,2.573077596363338
36,0.69993,2.5526860179290742
37,0.719928,2.619532625811336
38,0.7399260000000001,2.61378701802488
39,0.7599239999999999,2.6409945712977323
40,0.779922,2.6119673573253626
41,0.7999200000000001,2.626121931917963
42,0.819918,2.642207089658796
43,0.8399160000000001,2.6879465402564646
44,0.859914,2.6821527681556248
45,0.879912,2.6917552128032884
46,0.89991,2.8999673804718737
47,0.9199080000000001,2.7243581851811705
48,0.939906,2.737348498046374
49,0.959904,2.8430589364688887
50,0.979902,2.7366143454091665
51,0.9999,2.5961026747866045
52,1.019898,2.5055324935001306
53,1.039896,2.630373846509775
54,1.0598940000000001,2.6201960963969904
55,1.079892,2.5582708893266055
56,1.09989,2.6353752793953498
57,1.119888,2.772871588861685
58,1.139886,2.763476610240408
59,1.159884,2.7007085572659495
60,1.179882,2.5787980088540627
61,1.19988,2.6248406109498905
62,1.219878,2.4257490068258103
63,1.239876,2.5964159642604936
64,1.259874,2.3776199671285423
65,1.2798720000000001,2.5890505238352612
66,1.29987,2.583995214474965
67,1.319868,2.5367463806713566
68,1.339866,2.45807104104363
69,1.359864,2.6108877987927257
70,1.3798620000000001,2.5389109990496554
71,1.39986,2.555430685991815
72,1.4198579999999998,2.503445437279666
73,1.439856,2.607409596213618
74,1.459854,2.5503380283110313
