Frame,Time (ns),Radius of Gyration
1,0.0,31.144078229485928
2,0.019998000000000002,31.058815700569646
3,0.039996000000000004,31.172334644564895
4,0.059994,31.34807232389067
5,0.07999200000000001,31.071920922148447
6,0.09999000000000001,31.07112979466785
7,0.119988,31.094647614073043
8,0.139986,31.203105656842137
9,0.15998400000000002,31.12468286695346
10,0.179982,30.948788982942574
11,0.19998000000000002,31.128504116759427
12,0.219978,31.26920262095189
13,0.239976,31.30551938329966
14,0.259974,31.171882499542946
15,0.279972,31.273908647949124
16,0.29997,31.171113854326723
17,0.31996800000000003,31.20531601571464
18,0.339966,31.229437397417588
19,0.359964,31.16845693930234
20,0.37996199999999997,30.91784875425463
21,0.39996000000000004,31.31898291872279
22,0.41995800000000005,31.326339066502165
23,0.439956,31.11555944552192
24,0.45995400000000003,31.168761095116043
25,0.479952,30.955341425108326
26,0.49995,30.922798914601664
27,0.519948,31.108373157466474
28,0.539946,31.035415771314753
29,0.559944,30.986341805586846
30,0.579942,31.134145243300342
31,0.59994,31.171059478035655
32,0.619938,31.060724889449368
33,0.6399360000000001,31.243853215645064
34,0.659934,31.314038786814535
35,0.679932,31.162087257282018
36,0.69993,31.11061530485545
37,0.719928,31.15647991550212
38,0.7399260000000001,30.94024344682956
39,0.7599239999999999,31.05784275767673
40,0.779922,31.1031671785185
41,0.7999200000000001,31.24231195548306
42,0.819918,31.083879880766673
43,0.8399160000000001,31.180872056729722
44,0.859914,31.318119592081093
45,0.879912,31.315715414219273
46,0.89991,31.383676351923267
47,0.9199080000000001,31.58272642221511
48,0.939906,31.267949473589034
49,0.959904,31.344616522471604
50,0.979902,31.16777450750225
51,0.9999,31.142772072629555
52,1.019898,31.18889197477161
53,1.039896,31.203349524062318
54,1.0598940000000001,31.322827498051957
55,1.079892,31.526077846465217
56,1.09989,31.279618733867967
57,1.119888,31.218187114158535
58,1.139886,31.393480794783873
59,1.159884,31.308846865772555
60,1.179882,31.304398979542118
61,1.19988,31.29456895294443
62,1.219878,31.507842667068143
63,1.239876,31.565877090399145
64,1.259874,31.300315614303457
65,1.2798720000000001,31.33199679362297
66,1.29987,31.539973360765796
67,1.319868,31.59175122449157
68,1.339866,31.33460983953316
69,1.359864,31.273842884662173
70,1.3798620000000001,31.05321147058069
71,1.39986,31.198237617937377
72,1.4198579999999998,31.286220241326202
73,1.439856,31.177981647151253
74,1.459854,31.4903794424655
75,1.4798520000000002,31.508955590712016
76,1.4998500000000001,31.41821355396748
77,1.5198479999999999,31.540401386329943
78,1.539846,31.39162501602195
79,1.559844,31.166058913490925
80,1.5798420000000002,31.20895577976013
81,1.5998400000000002,31.21773675902343
82,1.619838,31.197696982773298
83,1.639836,31.02633528023212
84,1.659834,31.17644462048816
85,1.6798320000000002,30.925284284693728
86,1.69983,30.946991773883045
87,1.719828,30.713849916240225
88,1.739826,30.799450703267727
89,1.759824,30.881025166129135
90,1.779822,30.9494102631849
91,1.79982,30.82280268368921
92,1.819818,30.696953956001103
93,1.8398160000000001,30.889876066508805
94,1.859814,31.026323735592904
95,1.879812,30.830939828870036
96,1.89981,31.06269557412043
97,1.919808,30.790043003342834
98,1.9398060000000001,30.867704879588633
99,1.959804,30.8551792638788
100,1.979802,31.009623003621012
101,1.9998,31.07654642273695
102,2.019798,31.191503434635855
103,2.039796,31.198659228063637
104,2.0597939999999997,31.079422208984486
105,2.079792,31.051205819563652
106,2.09979,31.109179411389377
107,2.1197880000000002,31.203039269908956
108,2.139786,31.080108706872526
109,2.159784,31.16411904539195
110,2.1797820000000003,31.05298716367326
111,2.19978,31.1880271734128
112,2.2197780000000003,31.136525148545037
113,2.239776,31.34378296848838
114,2.2597739999999997,31.14805095544669
115,2.279772,31.261817097002783
116,2.29977,31.388725796378424
117,2.319768,31.376704631553977
118,2.339766,31.11514844631944
119,2.359764,31.038615463503817
120,2.3797620000000004,31.03401117503318
121,2.39976,31.495448411727804
122,2.4197580000000003,31.376760302386312
123,2.439756,31.348484486876274
124,2.4597539999999998,31.447069991238138
125,2.479752,31.463249147586502
126,2.49975,31.169270412067412
127,2.519748,31.183606188754634
128,2.539746,31.319266735114144
129,2.5597440000000002,31.18856908823935
130,2.579742,31.39674685491322
131,2.59974,31.230938944281156
132,2.619738,31.277810310011663
133,2.639736,31.365307541194067
134,2.659734,31.230427824391338
135,2.679732,31.240316404645732
136,2.69973,31.244507033585037
137,2.719728,31.36258584158127
138,2.739726,31.177901956761193
139,2.7597240000000003,31.3178725621511
140,2.779722,31.136808431927353
141,2.79972,31.185161536043832
142,2.819718,31.458469647709816
143,2.8397159999999997,31.5806536066425
144,2.859714,31.373291961593015
145,2.879712,31.48738871966148
146,2.8997100000000002,31.40248443880433
147,2.919708,31.397383390041878
148,2.939706,31.264712252422687
149,2.9597040000000003,31.25497397702339
150,2.979702,31.19896619281523
151,2.9997000000000003,31.423130009007018
152,3.019698,31.437144237624576
153,3.0396959999999997,31.550865800644548
154,3.059694,31.54943628078774
155,3.079692,31.544512488837395
156,3.09969,31.562551040341784
157,3.119688,31.6604151485991
158,3.139686,31.407612760752343
159,3.1596840000000004,31.34880350946067
160,3.179682,31.394979928131345
161,3.1996800000000003,31.364668419908924
162,3.219678,31.616489673005628
163,3.239676,31.662011402198097
164,3.259674,31.66419383618749
165,3.279672,31.60685860152296
166,3.29967,31.536302936986434
167,3.319668,31.661851915276383
168,3.3396660000000002,31.85922539384632
169,3.3596640000000004,32.00422007956546
170,3.379662,31.804830966564634
171,3.39966,31.656415162127498
172,3.419658,31.712671345328175
173,3.439656,31.884533883382126
174,3.459654,31.739549819500322
175,3.479652,31.923516908658485
176,3.49965,31.84061687150333
177,3.519648,31.924310011596774
178,3.5396460000000003,31.914773426905466
179,3.559644,31.792099112592922
180,3.579642,31.70796395095981
181,3.59964,31.60046224431532
182,3.619638,31.68694813168489
183,3.639636,31.762175481013603
184,3.659634,31.628725883485224
185,3.6796320000000002,31.858071212367065
186,3.69963,31.69684595197054
187,3.719628,31.598618255701005
188,3.7396260000000003,31.557106790599676
189,3.759624,31.751596054781892
190,3.7796220000000003,31.862801325149523
191,3.79962,31.915804817202073
192,3.8196179999999997,32.00805376610643
193,3.839616,31.765316926324804
194,3.859614,31.995861831649652
195,3.8796120000000003,31.83084647005023
196,3.89961,32.04132231948946
197,3.919608,31.99067784268953
198,3.9396060000000004,31.916309320810324
199,3.959604,31.810840123516993
200,3.979602,31.888699550497503
201,3.9996,31.840744953002496
202,4.019598,31.846298056186825
203,4.039596,31.962575694927907
204,4.059594,32.17433036387326
205,4.079592,31.97641575729304
206,4.09959,31.84145022666713
207,4.119587999999999,31.869355416205966
208,4.139586,31.8094132767148
209,4.159584,31.885087253814877
210,4.179582,31.96936237829574
211,4.19958,32.0958541329565
212,4.219578,32.22209543248046
213,4.2395760000000005,32.03806985607553
214,4.259574000000001,31.80018136753366
215,4.279572,32.01127942711564
216,4.29957,31.91927360190572
217,4.319568,31.68935291875974
218,4.339566,31.82216813748531
219,4.359564000000001,31.666765001735058
220,4.379562,31.77937601699784
221,4.39956,31.877073232079567
222,4.419558,31.822074094659158
223,4.4395560000000005,31.645912919961127
224,4.459554,31.96900446260859
225,4.479552,32.06237317165548
226,4.49955,31.956743208763033
227,4.5195479999999995,31.896771633679013
228,4.5395460000000005,31.92329335692457
