Frame,Time (ns),RMSD
1,0.0,2.7216055776412204e-05
2,0.019998000000000002,1.5045492974198589
3,0.039996000000000004,2.038227903272759
4,0.059994,1.8910622154631553
5,0.07999200000000001,1.8462908055483973
6,0.09999000000000001,1.9743000448932422
7,0.119988,2.0963752460891025
8,0.139986,2.2237813364866863
9,0.15998400000000002,2.1426137328976904
10,0.179982,2.209980814211084
11,0.19998000000000002,2.166129684878456
12,0.219978,2.3110458402052285
13,0.239976,2.4255177264632226
14,0.259974,2.2363380831500006
15,0.279972,2.2223369921277816
16,0.29997,2.2627270277767537
17,0.31996800000000003,2.3335801896647594
18,0.339966,2.285121807513353
19,0.359964,2.476776938088466
20,0.37996199999999997,2.583803568922819
21,0.39996000000000004,2.4480496966057093
22,0.41995800000000005,2.5917463143518154
23,0.439956,2.6223203905507346
24,0.45995400000000003,2.5096039378049007
25,0.479952,2.7123561188577647
26,0.49995,2.671177133301657
27,0.519948,2.4707698806215723
28,0.539946,2.581358334555021
29,0.559944,2.792947231976298
30,0.579942,2.8614714401074712
31,0.59994,2.730527410110822
32,0.619938,3.053771451104311
33,0.6399360000000001,2.820645661496344
34,0.659934,2.601292388481142
35,0.679932,2.4942769753359153
36,0.69993,2.7489152907984407
37,0.719928,2.7423838210570293
38,0.7399260000000001,2.903110906497267
39,0.7599239999999999,2.9109065040446023
40,0.779922,3.0812895737625206
41,0.7999200000000001,2.777789623782034
42,0.819918,3.089922556265723
43,0.8399160000000001,3.083966306905329
44,0.859914,2.933196397878873
45,0.879912,3.196609693970759
46,0.89991,3.2978113073077404
47,0.9199080000000001,3.255761387598677
48,0.939906,3.1603530259853443
49,0.959904,3.4517389421776077
50,0.979902,3.532104318664426
51,0.9999,3.821685107029804
52,1.019898,4.156046385215191
53,1.039896,4.0108978947680995
54,1.0598940000000001,4.295934390730924
55,1.079892,4.0480853185021815
56,1.09989,3.879420488750771
57,1.119888,3.797414923966424
58,1.139886,4.291643316412493
59,1.159884,4.4777237047796445
60,1.179882,4.524196489187726
61,1.19988,4.144457729290658
62,1.219878,3.7462495259505566
63,1.239876,3.8304286304579263
64,1.259874,3.7917021259215775
65,1.2798720000000001,4.033207380304886
66,1.29987,3.7722792562257275
67,1.319868,3.8274660435360364
68,1.339866,3.6179226468315995
69,1.359864,3.759361509046496
70,1.3798620000000001,3.8348146947634527
71,1.39986,3.7101728847776534
72,1.4198579999999998,3.435023766231028
73,1.439856,3.2498720407251147
74,1.459854,3.5256826443732665
75,1.4798520000000002,3.3154933278356733
76,1.4998500000000001,3.431142306597057
77,1.5198479999999999,3.8204984457405473
78,1.539846,3.981620203908017
79,1.559844,4.1600814546694656
80,1.5798420000000002,4.065886253664616
81,1.5998400000000002,3.8914876736800728
82,1.619838,3.8831682197364237
83,1.639836,3.913980504557296
84,1.659834,3.9270285162106195
85,1.6798320000000002,4.3304372783233305
86,1.69983,4.259275716263254
87,1.719828,4.293579914410657
88,1.739826,4.146785670882754
89,1.759824,4.162059311398896
90,1.779822,3.98350920875615
91,1.79982,4.2503770566365064
92,1.819818,4.485817589043705
93,1.8398160000000001,3.925165963551338
94,1.859814,4.099831252642343
95,1.879812,4.362252422789468
96,1.89981,4.4288016185622165
97,1.919808,4.75469832670524
98,1.9398060000000001,4.608326818158399
99,1.959804,4.680649032839584
100,1.979802,4.685417955827074
