Frame,Time (ns),Solvent accessible surface area
1,80.011998,53715.14979995496
2,80.03199599999999,53908.909972526344
3,80.05199400000001,53629.425826067956
4,80.071992,53527.82624590739
5,80.09199000000001,54045.059445517116
6,80.111988,54382.09690735349
7,80.131986,54041.349923638816
8,80.151984,54368.33090933972
9,80.171982,54328.36900339766
10,80.19198,54526.21069835166
11,80.211978,54478.2439789766
12,80.23197599999999,54113.68534950128
13,80.251974,53926.224550755825
14,80.271972,54277.18520157554
15,80.29197,54333.497311718194
16,80.31196800000001,53960.37365459135
17,80.331966,53924.26963270844
18,80.35196400000001,54222.82947878112
19,80.371962,54286.96788310654
20,80.39196000000001,54283.86880781414
21,80.411958,53801.25152452758
22,80.431956,53974.435874770905
23,80.451954,53982.29582390634
24,80.471952,53896.311856529384
25,80.49195,54278.431321767406
26,80.511948,54519.99133114636
27,80.53194599999999,54512.64200420638
28,80.551944,54279.63916686669
29,80.57194199999999,54511.68184851584
30,80.59194000000001,54443.75031068748
31,80.611938,54385.90000859992
32,80.631936,54659.1379010846
33,80.65193400000001,54544.67991184244
34,80.671932,54354.888668179236
35,80.69193000000001,54442.8815358093
36,80.711928,54769.31126826307
37,80.731926,55252.139292491374
38,80.751924,55223.52772849314
39,80.771922,54982.93252339088
40,80.79192,54904.738485016525
41,80.811918,54941.28745035856
42,80.83191599999999,54815.9381276298
43,80.85191400000001,54912.03948163411
44,80.871912,55104.07023166981
45,80.89191000000001,54751.29713566049
46,80.911908,54845.03334134525
47,80.931906,55059.264445972905
48,80.951904,54980.77556490754
49,80.971902,54810.26905727632
50,80.99190000000002,55161.279895561674
51,81.011898,54601.65983516775
52,81.031896,54393.253149749034
53,81.051894,54460.4757085752
54,81.071892,54723.85935067568
55,81.09189,54715.77347685755
56,81.11188800000001,54555.65497405318
57,81.131886,54881.381378709324
58,81.15188400000001,54858.50443841389
59,81.171882,54700.01620014157
60,81.19188,54505.36046067758
61,81.211878,54419.87537540254
62,81.231876,54568.907743551026
63,81.251874,54630.02900346863
64,81.271872,54506.21557295993
65,81.29186999999999,54514.762953207675
66,81.311868,53988.45242165065
67,81.33186599999999,54183.87493887518
68,81.351864,54046.52711117236
69,81.37186200000001,54158.52388262712
70,81.39186,54413.01423823559
71,81.41185800000001,54606.35967205866
72,81.431856,54521.172517415594
73,81.45185400000001,54852.32686058661
74,81.471852,54542.13163588718
75,81.49185,54507.115325953644
76,81.511848,54742.02738979009
77,81.531846,54561.52573609206
78,81.551844,55000.86425505232
79,81.571842,55126.807337144
80,81.59183999999999,55143.25027716336
81,81.611838,54803.40596619018
82,81.63183599999999,55025.112166621
83,81.65183400000001,54638.27892155056
84,81.671832,54763.368662189074
85,81.69183,55062.771059961975
86,81.71182800000001,54834.03770708225
87,81.731826,54617.63033061204
88,81.75182400000001,54897.684304873845
89,81.771822,55233.50082886565
90,81.79182,54621.96671510728
91,81.811818,55069.778905055355
92,81.831816,54662.60063933438
93,81.851814,54571.95998254565
94,81.871812,54668.392164835095
95,81.89180999999999,54632.711002111035
96,81.91180800000001,54546.016708310526
97,81.931806,54488.78126351393
98,81.95180400000001,54507.0967083686
99,81.971802,54673.79736003103
100,81.9918,54500.293856560245
101,82.011798,54191.661505914104
102,82.031796,53942.74978474609
103,82.05179400000002,54710.28486603607
104,82.071792,54193.432399426834
105,82.09179,54066.076142856946
106,82.111788,54011.69476072969
107,82.131786,53761.02019207717
108,82.151784,53824.97432741684
109,82.17178200000001,54447.60652468422
110,82.19178,53986.11143761035
111,82.21177800000001,54487.10646213747
112,82.231776,54171.531599608796
113,82.25177400000001,54108.3487246654
114,82.271772,54370.01610999103
115,82.29177,54291.65766128094
116,82.311768,54348.101391112876
117,82.331766,54223.64400513006
118,82.35176399999999,54244.942793200644
119,82.371762,54178.22964682765
120,82.39175999999999,54805.31279291463
121,82.411758,54629.43235554556
122,82.43175600000001,54842.421639350774
123,82.451754,54422.24854914163
124,82.47175200000001,54442.54101568916
125,82.49175,54403.010007537836
