Frame,Time (ns),Solvent accessible surface area
1,0.0,28464.686324834205
2,0.019998000000000002,28433.256559290538
3,0.039996000000000004,29001.34186045162
4,0.059994,29031.113198301427
5,0.07999200000000001,28723.602387540504
6,0.09999000000000001,28852.36782021533
7,0.119988,28808.825623517438
8,0.139986,29100.42804545606
9,0.15998400000000002,28732.729392062352
10,0.179982,28866.379489320847
11,0.19998000000000002,29168.708334537336
12,0.219978,29486.76060208064
13,0.239976,29480.61733968132
14,0.259974,29452.96040723224
15,0.279972,29460.65511298508
16,0.29997,29563.7810599066
17,0.31996800000000003,29336.192624833675
18,0.339966,29318.959322465893
19,0.359964,29352.607964494116
20,0.37996199999999997,29283.659161280273
21,0.39996000000000004,29535.668698391302
22,0.41995800000000005,29536.37082100882
23,0.439956,29515.07601021926
24,0.45995400000000003,29465.641602692252
25,0.479952,29374.473754522573
26,0.49995,29376.55361846173
27,0.519948,29210.772904596328
28,0.539946,29096.57128070969
29,0.559944,29183.256556203647
30,0.579942,29335.43885106443
31,0.59994,29377.15498182362
32,0.619938,29415.980859961706
33,0.6399360000000001,29929.72214128825
34,0.659934,29702.540798781854
35,0.679932,29369.291660911458
36,0.69993,29509.615158247198
37,0.719928,29488.940831249743
38,0.7399260000000001,29439.23922868018
39,0.7599239999999999,29234.549098427105
40,0.779922,29462.985248716348
41,0.7999200000000001,29505.236057892525
42,0.819918,29092.01945202725
43,0.8399160000000001,29506.104892662144
44,0.859914,29130.89620278584
45,0.879912,29531.955248973194
46,0.89991,29445.749681697915
47,0.9199080000000001,29447.597440229605
48,0.939906,29461.155252806733
49,0.959904,29620.125605890025
50,0.979902,29427.339921068036
51,0.9999,29581.769648461093
52,1.019898,29273.334674294965
53,1.039896,29425.045789048458
54,1.0598940000000001,29666.919431202354
55,1.079892,29912.201601856
56,1.09989,29717.976487661363
57,1.119888,29419.00859529479
58,1.139886,29683.765279661424
59,1.159884,29689.70165176468
60,1.179882,30016.11795340924
61,1.19988,29613.67010432237
62,1.219878,29548.240866686505
63,1.239876,29690.20955255255
64,1.259874,29698.030714829114
65,1.2798720000000001,29744.982846618426
66,1.29987,29803.60778004543
67,1.319868,29782.469236948713
68,1.339866,29945.021260553058
69,1.359864,29959.56082661297
70,1.3798620000000001,29578.170156883745
71,1.39986,29982.911030307205
72,1.4198579999999998,29893.06141088721
73,1.439856,29780.058905208305
74,1.459854,29787.664816423927
75,1.4798520000000002,29686.022807596615
76,1.4998500000000001,29984.490116704837
77,1.5198479999999999,30254.58641422877
78,1.539846,30048.619605317428
79,1.559844,30050.69302580439
80,1.5798420000000002,29875.076246691187
81,1.5998400000000002,29939.931052010517
82,1.619838,29993.86117457063
83,1.639836,29450.428137429975
84,1.659834,29846.893741842483
85,1.6798320000000002,29635.754030821518
86,1.69983,29890.800334115636
87,1.719828,29808.07214604598
88,1.739826,29709.888935670093
89,1.759824,29563.975367722374
90,1.779822,29625.835500487516
91,1.79982,29718.070283172656
92,1.819818,29660.65502058293
93,1.8398160000000001,29746.205096997965
94,1.859814,30116.154729963953
95,1.879812,29973.55843580432
96,1.89981,30119.684147843753
97,1.919808,29843.59804210177
98,1.9398060000000001,29988.131070181462
99,1.959804,30117.188960280524
100,1.979802,30019.892894446482
101,1.9998,29973.74900081675
102,2.019798,29961.61137707942
103,2.039796,29907.778373462894
104,2.0597939999999997,29874.479379222183
105,2.079792,29899.65862852647
106,2.09979,29925.860110148453
107,2.1197880000000002,29809.858407479096
108,2.139786,29914.304970786077
109,2.159784,30014.157189112084
110,2.1797820000000003,29856.633196119357
111,2.19978,29621.639770785623
112,2.2197780000000003,29594.691456461387
113,2.239776,29848.365541327734
114,2.2597739999999997,29584.905508718126
115,2.279772,29705.097276447763
116,2.29977,29622.69409228153
117,2.319768,29773.56137077702
118,2.339766,29593.39946118027
119,2.359764,29612.93680618493
120,2.3797620000000004,29572.727895164706
121,2.39976,29745.980925330972
122,2.4197580000000003,29497.419136052857
123,2.439756,29492.628384583022
124,2.4597539999999998,29379.904183239807
125,2.479752,29537.691023821066
126,2.49975,29941.664942017036
