Frame,Time (ns),RMSD
1,0.0,1.744643546381726e-05
2,0.019998000000000002,1.4439966068758832
3,0.039996000000000004,1.4885058560540876
4,0.059994,1.5444068739489927
5,0.07999200000000001,1.7468107321504984
6,0.09999000000000001,2.2463365652775056
7,0.119988,2.1204718427129157
8,0.139986,2.0190365496827334
9,0.15998400000000002,1.8932526301176156
10,0.179982,1.9328142917767206
11,0.19998000000000002,2.2288499251832263
12,0.219978,2.4638289608417576
13,0.239976,2.164573512926128
14,0.259974,2.1346766377458524
15,0.279972,2.111043370575636
16,0.29997,2.00353178626411
17,0.31996800000000003,2.187130807048987
18,0.339966,2.27658801769672
19,0.359964,2.595238219427282
20,0.37996199999999997,2.542924977840402
21,0.39996000000000004,2.339324980995662
22,0.41995800000000005,2.2312183242943435
23,0.439956,2.221840077612984
24,0.45995400000000003,2.047670451758431
25,0.479952,1.9872652600234773
26,0.49995,2.3237142787296565
27,0.519948,2.233994174042367
28,0.539946,2.2661585853653317
29,0.559944,2.412638133488907
30,0.579942,2.082918492724239
31,0.59994,2.2145660473034345
32,0.619938,2.211548079420073
33,0.6399360000000001,2.101187916129187
34,0.659934,2.1319068081749797
35,0.679932,2.0239602469694224
36,0.69993,2.1702183828854187
37,0.719928,1.9783544897032947
38,0.7399260000000001,2.0137412963429906
39,0.7599239999999999,2.156726475603239
40,0.779922,2.07479860859864
41,0.7999200000000001,2.0752823902327053
42,0.819918,2.2347289156619095
43,0.8399160000000001,2.168409295092831
44,0.859914,2.337457125005775
45,0.879912,2.272883174754654
46,0.89991,2.364927038987905
47,0.9199080000000001,2.1604946208492524
48,0.939906,2.0345658103601747
49,0.959904,2.1484095118447564
50,0.979902,2.0959447199341104
51,0.9999,2.0494586158052033
52,1.019898,2.1226559948261254
53,1.039896,2.1785379545429095
54,1.0598940000000001,2.3765771010914776
55,1.079892,2.4012822984730673
56,1.09989,2.2129858779480114
57,1.119888,2.2844021678035555
58,1.139886,2.7367051098858215
59,1.159884,2.601013273933101
60,1.179882,2.6196204776415635
61,1.19988,3.050863370202188
62,1.219878,2.951110943950112
63,1.239876,3.2624969171923235
64,1.259874,3.1973600452780735
65,1.2798720000000001,2.9904851796536738
66,1.29987,2.7246202867052434
67,1.319868,2.2755974210740253
68,1.339866,2.226174837248145
69,1.359864,2.2332898974250415
70,1.3798620000000001,2.2136741082444376
71,1.39986,2.392369990636108
72,1.4198579999999998,2.2976652218908917
73,1.439856,2.4413549644812083
74,1.459854,2.3844029274037433
75,1.4798520000000002,2.33529241280136
76,1.4998500000000001,2.6842020945835867
77,1.5198479999999999,2.7896367483453863
78,1.539846,3.2171938456237084
79,1.559844,2.914201293210595
80,1.5798420000000002,2.8116879480832098
81,1.5998400000000002,2.6195122871368537
82,1.619838,2.716727075222453
83,1.639836,2.8660430184888948
84,1.659834,2.8446091012036994
85,1.6798320000000002,3.3179073210007286
86,1.69983,3.443898856768585
87,1.719828,3.9972575310261
88,1.739826,3.849967930502269
89,1.759824,4.112373682068086
90,1.779822,3.9237587212576894
91,1.79982,4.172688775782468
92,1.819818,4.099223087666654
93,1.8398160000000001,3.7953123467578984
94,1.859814,3.7207765330199156
95,1.879812,3.932528400474592
96,1.89981,3.823755922724647
97,1.919808,4.089474080319427
98,1.9398060000000001,3.8871095245551937
99,1.959804,3.698947011490387
100,1.979802,3.6408272344931505
101,1.9998,3.528634727497978
102,2.019798,3.3786490802028393
103,2.039796,3.4786473349878726
104,2.0597939999999997,3.382656371318695
105,2.079792,3.3745185746791404
106,2.09979,3.010898741697586
107,2.1197880000000002,2.726113008180976
108,2.139786,2.7282940960235664
109,2.159784,2.7035916668959565
110,2.1797820000000003,2.8490547496722995
111,2.19978,2.926950510752471
112,2.2197780000000003,2.956005399071248
113,2.239776,3.082873278852921
114,2.2597739999999997,3.2006883500981553
115,2.279772,3.3825787822338893
116,2.29977,3.4851730040416014
117,2.319768,3.666114984055823
118,2.339766,3.4684541872778056
119,2.359764,3.593320320792138
120,2.3797620000000004,3.6647481926134
121,2.39976,3.5188614189081204
122,2.4197580000000003,3.134506503415244
123,2.439756,3.0969604416550958
124,2.4597539999999998,3.0469118487707725
125,2.479752,3.161507433998909
126,2.49975,3.4197360520040543
127,2.519748,3.1557025426341263
128,2.539746,3.384443813169277
129,2.5597440000000002,3.326468779996221
130,2.579742,3.720278427755273
131,2.59974,3.0961532577160105
132,2.619738,2.8107199584977196
133,2.639736,2.6303467928182065
134,2.659734,2.769371810532687
135,2.679732,3.1214001318355584
136,2.69973,3.1436105488745403
137,2.719728,3.041371666242393
138,2.739726,3.277581301442651
139,2.7597240000000003,3.558445995900301
140,2.779722,3.424282959949519
141,2.79972,3.8563151875225783
142,2.819718,3.978807555940002
143,2.8397159999999997,3.7197156103193523
144,2.859714,3.8991209666901763
145,2.879712,4.351111541234599
146,2.8997100000000002,4.513408211606653
147,2.919708,4.970243338908959
148,2.939706,4.40643376346583
149,2.9597040000000003,4.1618705863692655
150,2.979702,4.4968307429520555
151,2.9997000000000003,4.177015723472214
152,3.019698,3.897451378906053
153,3.0396959999999997,3.976542121963301
154,3.059694,4.241202157505653
155,3.079692,4.033671396257037
156,3.09969,3.970363175745252
157,3.119688,4.187403586717985
