Frame,Time (ns),Radius of Gyration
1,0.0,31.2588659886304
2,0.019998000000000002,31.774069225105592
3,0.039996000000000004,31.62113844059557
4,0.059994,31.752941045494904
5,0.07999200000000001,31.698953919609355
6,0.09999000000000001,31.725795130150576
7,0.119988,31.979556898191152
8,0.139986,32.12821261480552
9,0.15998400000000002,32.05406816287005
10,0.179982,31.90302438991462
11,0.19998000000000002,32.05369155395122
12,0.219978,32.30416731187087
13,0.239976,31.980365482368963
14,0.259974,31.977705467075314
15,0.279972,32.03950768362199
16,0.29997,31.874384333190104
17,0.31996800000000003,31.98383545883126
18,0.339966,31.933862390410468
19,0.359964,32.26767946061302
20,0.37996199999999997,32.14167360675853
21,0.39996000000000004,32.20713282168546
22,0.41995800000000005,32.04891630864798
23,0.439956,32.19245457513808
24,0.45995400000000003,31.917473846037577
25,0.479952,31.90880624227026
26,0.49995,32.11561654365384
27,0.519948,32.01433918361838
28,0.539946,32.08426177870591
29,0.559944,32.14574647416017
30,0.579942,31.98821119229959
31,0.59994,32.10500217479533
32,0.619938,32.129104800705825
33,0.6399360000000001,31.935193952772433
34,0.659934,32.04678137247937
35,0.679932,32.058607189715175
36,0.69993,32.12014815136235
37,0.719928,31.99213111192466
38,0.7399260000000001,32.05508559159754
39,0.7599239999999999,32.05217886705969
40,0.779922,31.992017350128428
41,0.7999200000000001,31.856115093569212
42,0.819918,31.83858650168466
43,0.8399160000000001,31.81408945761608
44,0.859914,31.90041808926057
45,0.879912,32.03420367792699
46,0.89991,32.11383033505148
47,0.9199080000000001,32.034930850465976
48,0.939906,31.87577346640718
49,0.959904,31.912306219110526
50,0.979902,31.905357885215405
51,0.9999,31.892234170513955
52,1.019898,32.048054618698245
53,1.039896,32.21631149026275
54,1.0598940000000001,32.13610447203812
55,1.079892,32.22117461320457
56,1.09989,32.017148725196115
57,1.119888,32.12243457382755
58,1.139886,32.28017196601978
59,1.159884,32.181681564387084
60,1.179882,32.00232383490078
61,1.19988,32.384611873082115
62,1.219878,32.138530395569674
63,1.239876,32.09650459669089
64,1.259874,32.23084318333622
65,1.2798720000000001,32.22047650981806
66,1.29987,32.30284620164091
67,1.319868,32.095844859012075
68,1.339866,32.05697696101442
69,1.359864,31.989459267187428
70,1.3798620000000001,31.812610425478205
71,1.39986,31.970396095169406
72,1.4198579999999998,32.08163698818583
73,1.439856,32.06220590677465
74,1.459854,32.222346386596925
75,1.4798520000000002,32.14835014564672
76,1.4998500000000001,32.16096437602254
77,1.5198479999999999,32.35310225462069
78,1.539846,32.32791797168465
79,1.559844,32.41112721861993
80,1.5798420000000002,32.485144684763235
81,1.5998400000000002,32.47314943894029
82,1.619838,32.313425383729694
83,1.639836,32.287059474285556
84,1.659834,32.32020247869472
85,1.6798320000000002,32.33498649105728
86,1.69983,32.4088789508257
87,1.719828,32.429123528474754
88,1.739826,32.330704391705616
89,1.759824,32.41375432896513
90,1.779822,32.22916309743798
91,1.79982,32.08552249383433
92,1.819818,32.240851173395605
93,1.8398160000000001,32.27522656925029
94,1.859814,32.20622050828306
95,1.879812,32.02451518191219
96,1.89981,32.03509826073242
97,1.919808,32.09882618890356
98,1.9398060000000001,31.9823571548803
99,1.959804,32.136189205328506
100,1.979802,32.02847021749208
101,1.9998,32.181817312437396
102,2.019798,32.09592739001294
103,2.039796,32.13708467695363
104,2.0597939999999997,32.016779335715924
105,2.079792,32.077048471033294
106,2.09979,32.18717466581879
107,2.1197880000000002,32.06853883411617
108,2.139786,32.069345422005235
109,2.159784,32.17465147744528
110,2.1797820000000003,32.26447706545289
111,2.19978,32.102525972868506
112,2.2197780000000003,32.198312190116255
113,2.239776,32.09943016256891
114,2.2597739999999997,31.97735092762277
115,2.279772,32.19166886852466
116,2.29977,32.25107850056967
117,2.319768,32.15053323861902
118,2.339766,31.934105760252393
119,2.359764,32.23116932787121
120,2.3797620000000004,32.226107260213
121,2.39976,32.20113385840706
122,2.4197580000000003,32.02132369279244
123,2.439756,32.06869764129137
124,2.4597539999999998,31.676978080958513
125,2.479752,31.785436271556442
126,2.49975,32.00175451516824
127,2.519748,32.1279511794232
128,2.539746,31.992977188261413
129,2.5597440000000002,31.98431259851812
130,2.579742,32.30232132285963
131,2.59974,32.0426319360418
132,2.619738,31.910137362033083
133,2.639736,31.869240986301318
134,2.659734,31.95053908746288
135,2.679732,32.150021762900934
136,2.69973,32.048125196772965
137,2.719728,31.974784329441256
138,2.739726,31.916322033515566
139,2.7597240000000003,32.144608624202924
140,2.779722,31.80248304726342
141,2.79972,31.965769579366683
142,2.819718,32.08356905087274
143,2.8397159999999997,31.82213034289501
144,2.859714,32.00299498742691
145,2.879712,32.19784176781979
146,2.8997100000000002,32.19650578583958
147,2.919708,32.12632525543428
148,2.939706,31.98604718148946
149,2.9597040000000003,32.11161532313578
150,2.979702,32.033243184336236
151,2.9997000000000003,32.05189451535073
152,3.019698,32.06389520593306
153,3.0396959999999997,32.00675628225869
154,3.059694,32.062836470508806
155,3.079692,31.992171264235946
156,3.09969,32.00925529757343
157,3.119688,32.07865070599024
158,3.139686,32.041065098391144
159,3.1596840000000004,31.76837169318475
160,3.179682,32.00682912647812
161,3.1996800000000003,32.17601332463265
162,3.219678,32.31117140745713
163,3.239676,32.104884851947055
164,3.259674,32.077821629071785
165,3.279672,32.32445019899702
166,3.29967,32.00879498948982
167,3.319668,32.277101669406946
168,3.3396660000000002,32.35600033642569
169,3.3596640000000004,32.36727950041778
170,3.379662,32.12795471493362
171,3.39966,32.16110652290801
172,3.419658,32.18209480412764
173,3.439656,32.14117991463985
174,3.459654,32.1145683179102
175,3.479652,32.07259719926326
176,3.49965,32.110138856352286
177,3.519648,31.974255348593175
178,3.5396460000000003,31.872282708398927
179,3.559644,32.07547377790474
180,3.579642,32.08622817505862
181,3.59964,32.08649809552808
182,3.619638,32.10129117898715
183,3.639636,32.17971581367313
184,3.659634,32.284655594804065
185,3.6796320000000002,32.352279599971155
186,3.69963,32.33024591818349
187,3.719628,32.36350677157029
188,3.7396260000000003,32.41085692253931
189,3.759624,32.31388332214909
190,3.7796220000000003,32.43322307951909
191,3.79962,32.458949891335024
192,3.8196179999999997,32.4576880934152
193,3.839616,32.571554210229905
194,3.859614,32.39198390903264
195,3.8796120000000003,32.40575832797272
196,3.89961,32.22645918787321
197,3.919608,32.428447513729175
198,3.9396060000000004,32.30143176552378
199,3.959604,32.39234252625958
200,3.979602,32.22977760314447
