Frame,Time (ns),Radius of Gyration
1,0.0,25.43665459009401
2,0.019998000000000002,25.61014981176097
3,0.039996000000000004,25.679939733250073
4,0.059994,25.700134452324747
5,0.07999200000000001,25.727248405895768
6,0.09999000000000001,25.669550003365725
7,0.119988,25.835186825083674
8,0.139986,25.75881710481259
9,0.15998400000000002,25.87849016459993
10,0.179982,25.906672154659375
11,0.19998000000000002,25.95541290028527
12,0.219978,25.88674531449751
13,0.239976,25.95489735361341
14,0.259974,25.954769572415515
15,0.279972,25.94803735822495
16,0.29997,26.062469111999143
17,0.31996800000000003,26.144668917767394
18,0.339966,26.11329379115797
19,0.359964,26.105120607539934
20,0.37996199999999997,26.082194405325108
21,0.39996000000000004,26.17491613140268
22,0.41995800000000005,26.086578006868024
23,0.439956,26.135191930082694
24,0.45995400000000003,26.131714368155258
25,0.479952,26.069555158389207
26,0.49995,26.178260141904925
27,0.519948,26.20202219598146
28,0.539946,26.082663550236017
29,0.559944,26.110190616597617
30,0.579942,26.140853601155126
31,0.59994,26.17281092347219
32,0.619938,26.167851789779597
33,0.6399360000000001,26.166585331859352
34,0.659934,26.159962951331355
35,0.679932,26.208301735476322
36,0.69993,26.140858224353607
37,0.719928,26.267365211639472
38,0.7399260000000001,26.076134736340805
39,0.7599239999999999,26.184399561156912
40,0.779922,26.08145337731698
41,0.7999200000000001,26.167262306779335
42,0.819918,26.219576955235542
43,0.8399160000000001,26.1733205653115
44,0.859914,26.108690566940414
45,0.879912,26.16981906960583
46,0.89991,26.11974378116774
47,0.9199080000000001,26.2158608812792
48,0.939906,26.24030895836396
49,0.959904,26.24391402826546
50,0.979902,26.337589291817345
51,0.9999,26.23239744272261
52,1.019898,26.158918329294153
53,1.039896,26.24281023352463
54,1.0598940000000001,26.363490232222993
55,1.079892,26.328742470349486
56,1.09989,26.30478690949175
57,1.119888,26.37916979201458
58,1.139886,26.371798689570397
59,1.159884,26.381807532910845
60,1.179882,26.31250154392784
61,1.19988,26.27171769358228
62,1.219878,26.15996407058789
63,1.239876,26.14474206375805
64,1.259874,26.07337071211368
65,1.2798720000000001,26.144780816968265
66,1.29987,26.156397272660556
67,1.319868,26.075511528211667
68,1.339866,26.17979351340373
69,1.359864,26.179071847084415
70,1.3798620000000001,26.215288469298958
71,1.39986,26.236767154785976
72,1.4198579999999998,26.174357082551587
73,1.439856,26.13561272176361
74,1.459854,26.13810202572409
75,1.4798520000000002,26.017199047472097
76,1.4998500000000001,26.06100525658435
77,1.5198479999999999,26.101079844978564
78,1.539846,26.137167500415458
79,1.559844,26.1742316821506
80,1.5798420000000002,26.24844672434605
81,1.5998400000000002,26.150998383346867
82,1.619838,26.07158261742802
83,1.639836,26.157299802342212
84,1.659834,26.09642293528258
85,1.6798320000000002,26.065979008793423
86,1.69983,26.167047907648442
87,1.719828,26.327274459414358
88,1.739826,26.288341425258768
89,1.759824,26.270490099843176
90,1.779822,26.24260284002124
91,1.79982,26.156960313301408
92,1.819818,26.152360487580655
93,1.8398160000000001,26.201166380529067
94,1.859814,26.22097598474292
95,1.879812,26.15591847756791
96,1.89981,26.159336750457143
97,1.919808,26.23510041538514
98,1.9398060000000001,26.35100252053487
99,1.959804,26.2736293240915
100,1.979802,26.212835268217326
101,1.9998,26.233686180139244
102,2.019798,26.17060143333025
103,2.039796,26.18819440553516
104,2.0597939999999997,26.191767911780936
105,2.079792,26.2909748551743
106,2.09979,26.25081837184742
107,2.1197880000000002,26.347556308773093
108,2.139786,26.36167338940657
109,2.159784,26.28499690531511
110,2.1797820000000003,26.28815090956823
111,2.19978,26.251141251211255
112,2.2197780000000003,26.291951120100673
113,2.239776,26.286236350731073
114,2.2597739999999997,26.286886833672597
115,2.279772,26.27923180822898
